producent,model,funkcja,liczba_kanalow,szerokosc_moduly,status_produktu,zasilanie,integracja_HA,zrodlo_url,data_weryfikacji,uwagi
generic,,relay,16,12,,24V DC,,,,zalozenie przy braku preferencji
generic,,cover,8,12,,24V DC,,,,zalozenie przy braku preferencji
generic,,dimmer_led,8,7,,24V DC,,,,zalozenie przy braku preferencji
generic,,input,16,4,,24V DC,,,,czesto wbudowane w sterowniki relay/cover - sprawdz uwagi producenta
generic,,gateway,0,1,,24V DC,,,,tylko jesli wybrany system wymaga bramki
generic,,energy,3,2,,230V AC,,,,
boneIO,ESP 32x10A,relay,32,12,aktywny,24V DC,ESPHome,https://store.boneio.eu/product/boneio-esp-32x10a/,2026-08-20,wyjscia 10A; wbudowane 35 wejsc binarnych 24V DC i 3 analogowe; Ethernet; nie wymaga bramki
boneIO,ESP 24x16A,relay,24,12,aktywny,24V DC,ESPHome,https://store.boneio.eu/product/boneio-esp-24x16/,2026-08-20,wyjscia 16A (pod gniazda); wbudowane 35 wejsc binarnych i 3 analogowe
boneIO,ESP Cover,cover,16,12,aktywny,24V DC,ESPHome,https://store.boneio.eu/product/boneio-esp-cover/,2026-08-20,16 rolet = 32 wyjscia sparowane z blokada jednoczesnego zalaczenia; 35 wejsc binarnych wbudowanych
boneIO,ESP Cover Mix,cover,8,12,aktywny,24V DC,ESPHome,https://store.boneio.eu/product/boneio-esp-cover-mix/,2026-08-20,8 rolet + dodatkowo 16 wyjsc przekaznikowych 10A na oswietlenie; 35 wejsc wbudowanych
boneIO,ESP Dimmer LED gen 2,dimmer_led,8,7,aktywny,12-24V DC,ESPHome,https://store.boneio.eu/product/boneio-dimmer-led-gen-2/,2026-08-20,8 kanalow PWM w 2 sekcjach (RGBW/CCT/mono); max 50W na kanal; 200W na sekcje
boneIO,ESP Input24 gen2,input,24,7,aktywny,12-24V DC,ESPHome,https://store.boneio.eu/product/boneio-esp-input24-gen2/,2026-08-20,modul rozszerzen wejsc przez Ethernet; wspolpracuje z kazdym sterownikiem boneIO; ma tez RS485 Modbus
SmartBob,SM-LITE-1616R,relay,16,12,preorder,24V DC,ESPHome,https://smartbob.pl/produkt/sm-lite-1616r/,2026-08-20,16 wejsc binarnych 24V wbudowanych; obsluga rolet z blokada na przekaznikach; wejscie pomiaru pradu SCT; przekazniki 10A
SmartBob,SM-MINI-0808R,relay,8,7,aktywny,24V DC,ESPHome,https://smartbob.pl/produkt/sm-mini-0808r/,2026-08-20,8 wejsc binarnych 24V wbudowanych; obsluga rolet z blokada; przekazniki 10A; nastepca oznaczenia SM-LITE-0808R
SmartBob,SM-LITE-1624D,dimmer_led,24,12,aktywny,24V DC,ESPHome,https://smartbob.pl/produkt/sm-lite-1624d/,2026-08-20,24 wyjscia MOSFET PWM 5-50V DC (5A praca ciagla); 16 wejsc binarnych wbudowanych
SmartBob,SM-PRO-3236D,dimmer_led,36,12,aktywny,24V DC,ESPHome,https://smartbob.pl/produkt/sm-pro-3236d/,2026-08-20,36 wyjsc MOSFET PWM do 26V DC (5A praca ciagla); 32 wejscia binarne wbudowane
